Role,Company,Location,Stipend,Duration,Posted,Applicant,Skills,Applicants
Human Resources (HR),Scalar Tech Media Private Limited,Mumbai,"₹ 6,000 - 10,000 /month",3 Months,Few hours ago,,"English Proficiency (Spoken)
Leadership
MS-Office
MS-Word
Team Management",Be an early applicant
Content Marketing,Talview,Bangalore,"₹ 10,000 - 15,000 /month",3 Months,Few hours ago,,"Canva
ChatGPT",Be an early applicant
Human Resource,Shantinath Detergents Private Limited,Kolkata                                                                (Hybrid),"₹ 4,000 - 5,000 /month",2 Months,Just now,,"Effective Communication
Interpersonal skills
Labour laws
MS-Office",Be an early applicant
Project Manager,Indiaum Solutions,"Bangalore, Koramangala","₹ 10,000 - 12,000 /month",3 Months,Just now,,"Attention to Detail
Effective Communication
Interpersonal skills
Management",Be an early applicant
Digital Marketing,The Affordable Organic Store,Bangalore,"₹ 10,000 - 12,000 /month",6 Months,Few hours ago,,"Artificial intelligence
Digital Marketing
Email Marketing
English Proficiency (Spoken)
English Proficiency (Written)
Instagram Marketing
Search Engine Marketing (SEM)
Search Engine Optimization (SEO)
Social Media Marketing",Be an early applicant
Digital Content Creation Trainer,ThinkPro Academy,Bangalore,"₹ 2,000 - 3,000 /month",6 Months,Few hours ago,,"Adobe After Effects
Adobe Creative Suite
Audio Making
Canva
Digital Marketing
Graphic Design
Storytelling
Video Editing
Video Making",Be an early applicant
Content Writing,CATKing Educare,Mumbai,"₹ 5,000 - 8,000 /month",3 Months,Few hours ago,,"Canva
English Proficiency (Spoken)
English Proficiency (Written)
Research and Analytics
Script Writing",Be an early applicant
Customer Connect Executive,Bharti Axa Life Insurance Company Limited,"Aurangabad, Indore, Kolhapur, Bhopal, Mumbai                                                                (Hybrid)","₹ 10,000 - 15,000 /month",6 Months,Just now,,Sales,Be an early applicant
Marketing,Ketto Online Ventures Private Limited,Mumbai,"₹ 15,000 /month",4 Months,Just now,,"Digital Marketing
Social Media Marketing",Be an early applicant
Marketing,CATKing Educare,Mumbai,"₹ 3,000 - 5,000 /month",3 Months,Few hours ago,,"Content Writing
English Proficiency (Spoken)
English Proficiency (Written)
MS-Excel
MS-Office
Search Engine Optimization (SEO)
Social Media Marketing",Be an early applicant
Studio Management,Ahimsa Tattoo,Mumbai,"₹ 5,000 - 9,000 /month",6 Months,Just now,,"Client Relationship
Effective Communication
Marketing
Sales",Be an early applicant
Business Development (Sales),EduVeda Academy,West,"₹ 25,000 /month",6 Months,Just now,,"Client Relationship Management (CRM)
Effective Communication
Sales Management",Be an early applicant
QA Testing,Sugary,Mumbai,"₹ 10,000 - 15,001 /month",6 Months,Just now,,Manual Testing,54 applicants
Business Development (Sales),Tripple One Solutions,Noida,"₹ 25,000 - 35,000 /month",2 Months,Just now,,"Counseling
English Proficiency (Spoken)
English Proficiency (Written)
Marketing
MS-Excel
Sales
Sales Strategy",26 applicants
Outreach,Jainam Jivika Foundation,"Chennai, Delhi, Gurgaon, Indore, Kolkata, Pune, Hyderabad, Jaipur","₹ 5,000 - 8,000 /month",3 Months,Just now,,"Effective Communication
Field Work
Interpersonal skills",Be an early applicant
Business Development (Sales),FinWin India Consulting,"Chandigarh, Delhi, Gurgaon, Jalandhar, Ludhiana, Noida","₹ 5,000 - 10,000 /month",6 Months,Just now,,"Effective Communication
Email Marketing
English Proficiency (Spoken)
English Proficiency (Written)
Interpersonal skills
MS-Excel
Zoom",Be an early applicant
Performance Ad Writing,Ayurveda House Private Limited,Delhi,"₹ 10,000 - 12,000 /month",3 Months,Just now,,"Copywriting
Creative Writing
English Proficiency (Written)",Be an early applicant
Social Media Marketing,Platform 3 Solutions,Bangalore                                                                (Hybrid),"₹ 14,000 - 17,000 /month",4 Months,2 days ago,,"English Proficiency (Spoken)
English Proficiency (Written)
Instagram Marketing
Social Media Marketing",61 applicants
Content Creation,Ayurveda House Private Limited,Delhi,"₹ 8,000 - 10,000 /month",3 Months,Just now,,"Acting technique
Video Making",Be an early applicant
Business Analytics,ABEX Excellence Private Limited,Chennai,"₹ 15,000 - 60,000 /month",3 Months,Few hours ago,,"English Proficiency (Written)
MS-Excel
Research and Analytics",50 applicants
Quality Analyst,Techdome Solutions Private Limited,"Indore, Hyderabad","₹ 10,000 - 15,000 /month",6 Months,Few hours ago,,"Machine Learning
Quality Assurance/Quality Control (QA/QC)
Quantity Survey (QS)",Be an early applicant
Meta Ad Writing,Ayurveda House Private Limited,Delhi,"₹ 10,000 - 12,000 /month",3 Months,Just now,,"Copywriting
Creative Writing
English Proficiency (Written)",Be an early applicant
Copywriting,Ayurveda House Private Limited,Delhi,"₹ 10,000 - 12,000 /month",3 Months,Just now,,"Copywriting
Creative Writing
English Proficiency (Written)",Be an early applicant
Foreign Exchange Market,B B Advisory,Work from home,"₹ 2,000 - 40,000 /month",2 Months,Just now,,"Mathematics
Stock Trading",Be an early applicant
Human Resources (HR),GIIT Solutions,Gurgaon,"₹ 5,000 - 10,000 /month",6 Months,Just now,,"English Proficiency (Spoken)
English Proficiency (Written)
MS-Excel
MS-Office
MS-Word",Be an early applicant
Human Resources (HR),Zenius,Jaipur,"₹ 10,000 /month",6 Months,Just now,,"ATS
Employment engagement
English Proficiency (Spoken)
Grievance Handling
Human Resource Information System (HRIS)
Onboarding
Recruitment
Resume screening",Be an early applicant
Social Media Marketing,Zenius,Jaipur,"₹ 10,000 /month",6 Months,Just now,,"Canva
Community Management
Content Marketing
Graphic Design
Social Media Marketing",Be an early applicant
Field Sales,Shantinath Detergents Private Limited,"Hooghly, Howrah, Nadia, Murshidabad, South 24 Parganas, North 24 Parganas, Midnapore","₹ 13,000 - 15,000 /month",2 Months,Few hours ago,,"Sales
Sales Management
Sales Strategy
Sales Support",Be an early applicant
Gaming Business Development,Diasimos Private Limited,Ahmedabad,"₹ 9,000 - 10,000 /month",6 Months,Few hours ago,,"Effective Communication
Email Marketing
English Proficiency (Spoken)
English Proficiency (Written)
Interpersonal skills
Presentation skills
Sales
Social Media Marketing",Be an early applicant
E-Commerce Operations,The Design Cart,Delhi,"₹ 16,000 /month",6 Months,Just now,,"MS-Excel
Operations",46 applicants
Medical Sales,Neuralbits Technologies Private Limited,"Surat, Gopipura                                                                (Hybrid)","₹ 15,000 - 21,000 /month",3 Months,1 day ago,,"Effective Communication
Field Sales
Field Work
Negotiation
Presentation skills
Sales Management
Sales Support",Be an early applicant
Customer Service/Customer Support,FinWin India Consulting,Work from home,"₹ 3,500 - 7,500 /month",6 Months,Just now,,"English Proficiency (Spoken)
English Proficiency (Written)
Hindi Proficiency (Spoken)
MS-Excel
MS-Office
Research and Analytics",74 applicants
Operations,Genesis Training,Bangalore                                                                (Hybrid),"₹ 8,000 /month",6 Months,Few hours ago,,"Canva
English Proficiency (Spoken)
English Proficiency (Written)
MS-Excel
MS-Office
MS-PowerPoint
MS-Word",Be an early applicant
Video Editing/Making,MiTran Global,Chennai,"₹ 10,000 - 12,000 /month",3 Months,1 day ago,,"Adobe Illustrator
Adobe Photoshop
Video Editing
Video Making",Be an early applicant
Customer Care Executive,AppVersal,Noida,"₹ 9,000 - 12,000 /month",4 Months,Few hours ago,,"Effective Communication
Interpersonal skills",Be an early applicant
Graphic Design,MARS Cosmetics,Delhi,"₹ 14,000 - 15,000 /month",3 Months,Few hours ago,,"Adobe Creative Suite
Adobe Illustrator
Adobe InDesign
Adobe Photoshop
Adobe Premiere Pro
UI & UX Design",67 applicants
Operations,RedCraft Events,Ahmedabad,"₹ 4,000 - 7,000 /month",6 Months,2 days ago,,"English Proficiency (Spoken)
English Proficiency (Written)
MS-Excel
MS-Office
MS-PowerPoint
MS-Word",Be an early applicant
Law/Legal,Doveriye,Hyderabad,"₹ 10,000 - 15,000 /month",3 Months,2 days ago,,"Legal Writing
MS-Office",Be an early applicant
"HR (Team, Projects & Coordination Role)",Bhartiyneer,Jodhpur,"₹ 3,000 - 5,000 /month",3 Months,1 day ago,,"HR Operations
Human Resources
Project Management
Recruitment
Talent Management",Be an early applicant
AI Researcher (Non Tech),ABEX Excellence Private Limited,Chennai,"₹ 5,000 - 10,000 /month",3 Months,3 days ago,,"Effective Communication
Market research",48 applicants
Graphic Design,Pace Pivot Private Limited,Bangalore                                                                (Hybrid),"₹ 12,000 /month",3 Months,1 day ago,,"Adobe Illustrator
Adobe Photoshop
Canva
Figma
Image Editing",Be an early applicant
Video Editing/Making,Zinnov Management Consulting,Bangalore,"₹ 20,000 - 25,000 /month",6 Months,1 day ago,,"Adobe Illustrator
Adobe Photoshop
Adobe Premiere Pro
Final Cut Pro
Video Editing
Video Making",Be an early applicant
Telecalling - Female,College Option,"Faridabad, Delhi, Noida                                                                (Hybrid)","₹ 10,500 - 27,000 /month",2 Months,1 day ago,,"Counseling
English Proficiency (Spoken)
English Proficiency (Written)
Hindi Proficiency (Spoken)
Lead Generation
MS-Excel
Sales",Be an early applicant
Architecture,JC Design Studio,Delhi,"₹ 8,000 - 10,000 /month",6 Months,2 days ago,,"Adobe Photoshop
AutoCAD
Autodesk Revit",Be an early applicant
Product Design,Internshala,Gurgaon,"₹ 18,000 /month",6 Months,Few hours ago,,"Adobe Creative Suite
Figma
UI & UX Design",37 applicants
Company Secretary (CS),Krishna Popat,"Palghar, Virar, Naigaon, Vasai, Boisar, Mira Bhayandar, Saphale, Vangaon, Kelwa, Umroli, Nalasopara, Dahisar Mori","₹ 5,000 - 8,000 /month",24 Months,4 days ago,,"English Proficiency (Spoken)
English Proficiency (Written)
MS-Word",Be an early applicant
Talent Acquisition,Creencia,Bangalore,"₹ 10,000 /month",3 Months,1 day ago,,"English Proficiency (Spoken)
English Proficiency (Written)
Human Resources
Recruitment",45 applicants
Digital Marketing,NRIWAY,"Amravati, Nagpur","₹ 3,000 - 3,500 /month",6 Months,2 days ago,,"Creative Writing
Digital Marketing
Email Marketing
English Proficiency (Spoken)
English Proficiency (Written)
Facebook Marketing
Instagram Marketing
Search Engine Marketing (SEM)
Search Engine Optimization (SEO)
Social Media Marketing",Be an early applicant
Event Organiser/Host,Tablon,Bangalore,"₹ 1,000 - 5,000 /week",1 Week,1 day ago,,"Effective Communication
English Proficiency (Spoken)
Interpersonal skills",61 applicants
Medical Sales,Neuralbits Technologies Private Limited,"Bangalore, Koramangala                                                                (Hybrid)","₹ 15,000 - 21,000 /month",3 Months,1 day ago,,"Effective Communication
Field Sales
Field Work
Marketing
Presentation skills
Sales Management
Sales Support",Be an early applicant
Social Media Marketing,CyberFrat,Mumbai,"₹ 7,000 - 8,000 /month",4 Months,1 day ago,,"Content Marketing
Content Writing
Creative Writing
Email Marketing
English Proficiency (Written)
LinkedIn Marketing
Public Speaking
Social Media Marketing",62 applicants
Digital Marketing,Prolegion Pvt. Ltd.,Lucknow,"₹ 7,000 - 15,000 /month",6 Months,Few hours ago,,"Content Writing
Creative Writing
Search Engine Marketing (SEM)
Search Engine Optimization (SEO)
Social Media Marketing",Be an early applicant
Content Writing,Fantasy Flora Events Private Limited,Hyderabad                                                                (Hybrid),"₹ 2,000 - 2,500 /month",1 Month,1 day ago,,"Blogging
Creative Writing
English Proficiency (Spoken)
English Proficiency (Written)",42 applicants
Events & Inventory Management,Qreative,"Thane, Navi Mumbai, Mumbai, Virar, Vasai","₹ 10,000 - 12,000 /month",3 Months,1 day ago,,"Client Interaction
Event Management
Google Sheets
Inventory Management
Logistics Management
Operations
Planning
Prioritization
Vendor Management",43 applicants
Medical Sales,Neuralbits Technologies Private Limited,"Secunderabad, Hyderabad                                                                (Hybrid)","₹ 15,000 - 21,000 /month",3 Months,1 day ago,,"Effective Communication
Field Sales
Field Work
Sales
Sales Management
Sales Support",Be an early applicant
Artificial Intelligence (AI),Alphabt,Chennai,"₹ 12,500 - 15,000 /month",6 Months,1 day ago,,"Computer Vision
Machine Learning
Python",79 applicants
Managerial,Movi Ecoserve Private Limited,Mumbai,"₹ 7,000 - 7,500 /month",6 Months,1 day ago,,"English Proficiency (Spoken)
English Proficiency (Written)
MS-Office
Office Management",Be an early applicant
Marketing,Ketto Online Ventures Private Limited,Mumbai,"₹ 12,000 - 15,000 /month",4 Months,1 day ago,,"Canva
Capcut
Content Writing
Creative Thinking
LinkedIn Marketing
Social Media Marketing
Storytelling
Video Editing",63 applicants
Social Media Marketing,Movi Ecoserve Private Limited,Mumbai                                                                (Hybrid),"₹ 5,000 - 5,500 /month",6 Months,1 day ago,,"Creative Writing
Digital Marketing
Email Marketing
English Proficiency (Spoken)
English Proficiency (Written)
Facebook Marketing
Instagram Marketing
Search Engine Marketing (SEM)
Search Engine Optimization (SEO)
Social Media Marketing",35 applicants
Market Research,Inspacco,Pune,"₹ 8,000 - 10,000 /month",3 Months,Few hours ago,,"English Proficiency (Spoken)
English Proficiency (Written)
MS-Excel
Research and Analytics",26 applicants
Architecture,Ipsita Mondal Design Co.,Gurgaon,"₹ 12,000 - 20,000 /month",6 Months,3 days ago,,"Adobe Illustrator
Adobe Photoshop
AutoCAD
Google SketchUp 
MS-Office",Be an early applicant
Chemistry,Technolira Innovations Private Limited,Pune,"₹ 6,000 - 8,000 /month",3 Months,2 days ago,,Chemistry,Be an early applicant
Media & Public Relations (PR),Right Health India,Mumbai,"₹ 8,000 - 20,000 /month",3 Months,1 day ago,,"Creative Writing
Effective Communication
English Proficiency (Spoken)
English Proficiency (Written)
Interpersonal skills
MS-Excel
Public Relations
Social Media Marketing",74 applicants
Data Entry,Content-Whale,Mumbai,"₹ 5,000 - 10,000 /month",6 Months,1 day ago,,"Data entry
Email Marketing",99 applicants
Digital Marketing,Fantasy Flora Events Private Limited,Hyderabad                                                                (Hybrid),"₹ 2,000 - 2,500 /month",1 Month,1 day ago,,"Digital Marketing
English Proficiency (Spoken)
English Proficiency (Written)
Influencer Marketing
Social Media Marketing",44 applicants
Influencer Marketing,Right Health India,Mumbai,"₹ 8,000 - 20,000 /month",3 Months,1 day ago,,"Effective Communication
English Proficiency (Spoken)
English Proficiency (Written)
Influencer Marketing
Instagram Marketing
Social Media Marketing",85 applicants
"Electrical, Electronics & Systems Engineering, EV",Gray Mobility,Bangalore                                                                (Hybrid),"₹ 12,000 - 15,000 /month",6 Months,1 day ago,,"Electrical Machines
Electric Vehicle Technology
PCB Design
System Design",51 applicants
Human Resources (HR),Ziegler Aerospace,Hyderabad,"₹ 8,000 /month",6 Months,1 day ago,,"English Proficiency (Spoken)
English Proficiency (Written)
Human Resource Information System (HRIS)
MS-Excel
MS-Office
MS-Word",91 applicants
Telecalling,Houzay,Bangalore                                                                (Hybrid),"₹ 2,500 - 6,000 /month",3 Months,Few hours ago,,"Community Management
Computer skills
English Proficiency (Spoken)
English Proficiency (Written)
Hindi Proficiency (Spoken)
MS-Excel",Be an early applicant
Sales and Marketing,Buffalo Extraction Systems Private Limited,Pune,"₹ 5,000 - 8,000 /month",2 Months,1 week ago,,"Analytical Thinking
Effective Communication
English Proficiency (Spoken)
English Proficiency (Written)
Market research
MS-Excel
MS-Word
Research and Analytics",Be an early applicant
Law/Legal,Anurag Agrawal,Indore,"₹ 2,000 - 4,000 /month",6 Months,4 days ago,,"English Proficiency (Spoken)
English Proficiency (Written)
MS-Office
MS-Word",Be an early applicant
Administration,Vivaan Parashar,Mumbai                                                                (Hybrid),"₹ 7,000 - 9,000 /month",6 Months,1 day ago,,"English Proficiency (Spoken)
English Proficiency (Written)
MS-Office
MS-PowerPoint
MS-Word",44 applicants
