Role,Company,Location,Stipend,Duration,Posted,Applicant,Skills,Applicants
Operations Executive - B2C,Mahindra Logistics Limited,"Mumbai, Delhi","₹ 20,000 /month",6 Months,3 weeks ago,,"Analytical Thinking
Attention to Detail
Data Analysis
Data Analytics
Effective Communication
Google Sheets
MS-Excel
Problem Solving
Time Management",1000+ applicants
Operations Executive - Central Initiatives,Mahindra Logistics Limited,"Mumbai, Delhi","₹ 20,000 /month",6 Months,3 weeks ago,,"Adaptability
Analytical Thinking
Data Analysis
Effective Communication
Employment engagement
MS-Excel
Problem Solving
Research and Analytics
Stakeholder Management",1000+ applicants
Sales and Marketing,Cook N Klean,Work from home,"₹ 8,000 - 10,000 /month",2 Months,3 weeks ago,,"Adaptability
Effective Communication
Problem Solving
Sales Management
Time Management",1000+ applicants
Inside Sales,Unacademy (Sorting Hat Technologies Private Limited),Bangalore,"₹ 18,000 - 20,000 /month",3 Months,3 weeks ago,,"English Proficiency (Spoken)
Hindi Proficiency (Spoken)",56 applicants
Sales,Aditya Birla Fashion & Retail Limited (ABFRL),"Navi Mumbai, Panvel","₹ 15,000 /month",6 Months,3 weeks ago,,Sales,35 applicants
Corporate Sales,Reckitt,Bangalore,"₹ 5,000 /month",2 Months,3 weeks ago,,"Digital Marketing
Email Marketing
English Proficiency (Spoken)
English Proficiency (Written)
MS-Excel
MS-Office
Power BI",111 applicants
Mechanical Engineering,Theobroma Foods Private Limited,Mumbai,"₹ 2,000 - 2,500 /month",6 Months,3 weeks ago,,Maintenance,299 applicants
Pre-Sales Manager,BrightCHAMPS,Work from home,"₹ 17,000 - 23,000 /month",6 Months,3 weeks ago,,"Cold Calling
Effective Communication",1000+ applicants
Talent Acquisition,P&M,Gurgaon,"₹ 13,000 - 30,000 /month",6 Months,3 weeks ago,,English Proficiency (Spoken),1000+ applicants
Social Media Marketing,Leeford Healthcare Limited,Ludhiana,"₹ 15,000 - 20,000 /month",3 Months,3 weeks ago,,"Digital Marketing
Facebook Marketing
Social Media Marketing",47 applicants
Event Marketing,Times Internet,Noida,"₹ 9,000 - 10,000 /month",6 Months,3 weeks ago,,Marketing,285 applicants
Visual Merchandising,SPAR Hypermarket (Landmark Group),Bangalore,"₹ 13,000 /month",3 Months,3 weeks ago,,Merchandising,47 applicants
Educational Marketing,WWF-India,Bangalore,"₹ 10,000 /month",5 Months,3 weeks ago,,"Community Management
Coordination
Event Management
Interpersonal skills
Marketing",Be an early applicant
Digital Research,Futurionic Private Limited,Work from home,"₹ 5,000 /month",6 Months,3 weeks ago,,"Effective Communication
MS-Office
MS-PowerPoint
Research and Analytics
Time Management",1000+ applicants
Graphic Design,L.E.K. Consulting LLC,Gurgaon                                                                (Hybrid),"₹ 17,000 /month",6 Months,3 weeks ago,,"Adobe Photoshop
Canva
MS-PowerPoint",799 applicants
Graphic Design,CollegeDekho.com,Gurgaon,"₹ 10,000 /month",3 Months,3 weeks ago,,"Adobe Creative Suite
Adobe Illustrator
Adobe Photoshop
Adobe Premiere Pro
CorelDRAW
Video Editing",538 applicants
Social Media Marketing,Times Internet,Delhi                                                                (Hybrid),"₹ 10,000 - 15,000 /month",6 Months,3 weeks ago,,"Creative Writing
Digital Marketing
Email Marketing
English Proficiency (Spoken)
English Proficiency (Written)
Facebook Marketing
Instagram Marketing
Search Engine Marketing (SEM)
Search Engine Optimization (SEO)
Social Media Marketing",679 applicants
Food Content Creator (Instagram Reels),Eniacworld Media Private Limited,Jaipur                                                                (Hybrid),"₹ 3,000 - 8,000 /month",6 Months,Just now,,"Content Management
Content Writing
Creative Thinking
Video Making",Be an early applicant
Human Resources,CATKing Educare,Mumbai,"₹ 5,000 - 8,000 /month",3 Months,Just now,,"Effective Communication
Interpersonal skills
MS-Excel",Be an early applicant
Law/Legal,VIVEK SHEEL,Delhi,"₹ 15,000 /month",2 Months,2 days ago,,"English Proficiency (Spoken)
English Proficiency (Written)
MS-Office
MS-Word",89 applicants
eCommerce Merchandising,Aashni + Co,Mumbai,"₹ 14,500 /month",6 Months,Just now,,MS-Excel,Be an early applicant
Business Development (Sales),ADORE,Kolkata,"₹ 4,000 /month",6 Months,Just now,,English Proficiency (Spoken),Be an early applicant
Marketing,Digital ROI,Pune,"₹ 10,000 - 16,000 /month",6 Months,Just now,,"English Proficiency (Spoken)
Market Analysis
Marketing Strategies 
Market research
Research and Analytics",Be an early applicant
Inside Sales,Lime Learn Eduserv Private Limited,Pune,"₹ 8,000 - 15,000 /month",2 Months,Few hours ago,,"Effective Communication
Interpersonal skills
Sales
Sales Management
Sales Strategy",Be an early applicant
Fitness Trainer,Primal Patterns,Chennai,"₹ 10,000 - 20,000 /month",6 Months,Few hours ago,,"English Proficiency (Spoken)
English Proficiency (Written)
Sports",Be an early applicant
Social Media Marketing And Content Creation,Tring,"Thane, Navi Mumbai, Mumbai, Panvel","₹ 10,000 - 15,000 /month",3 Months,Just now,,"Content Writing
English Proficiency (Spoken)
English Proficiency (Written)
Instagram Marketing
Social Media Marketing",Be an early applicant
Content Creation,Fitkin,Delhi,"₹ 10,000 - 15,000 /month",3 Months,Few hours ago,,"Capcut
Videography
Video Making",Be an early applicant
Fashion Design,APSK Production & Entertainment Private Limited,Lucknow,"₹ 5,000 - 10,000 /month",3 Months,Just now,,"Adobe Illustrator
Adobe Photoshop
Color Theory
CorelDRAW
Fashion Designing
Fashion Styling",Be an early applicant
Sales and Marketing,Praxis,Chennai,"₹ 8,000 - 15,000 /month",6 Months,Few hours ago,,"English Proficiency (Spoken)
English Proficiency (Written)
MS-Excel
MS-Office",Be an early applicant
Social Media Marketing,Magica Labs,Kolkata                                                                (Hybrid),"₹ 4,000 - 5,000 /month",6 Months,5 days ago,,English Proficiency (Spoken),33 applicants
Data Entry,MJMA IMPEX PRIVATE LIMITED,Hyderabad                                                                (Hybrid),"₹ 18,000 - 22,000 /month",3 Months,Few hours ago,,MS-Excel,33 applicants
Computer Operator,SANNA CAPITAL PRIVATE LIMITED,"Hyderabad, Secundrabad                                                                (Hybrid)","₹ 18,000 - 26,000 /month",2 Months,Few hours ago,,"MS-Excel
MS-Office",Be an early applicant
Business Development (Sales),Nexcel Consultancy Private Limited,Dombivli,"₹ 8,000 - 10,000 /month",3 Months,Few hours ago,,"Digital Marketing
Effective Communication
Email Marketing
English Proficiency (Spoken)
English Proficiency (Written)
LinkedIn Marketing
MS-Excel
Sales
Social Media Marketing",Be an early applicant
Computer Operator,Cherag Traders,"Hyderabad, Secundrabad                                                                (Hybrid)","₹ 18,000 - 26,000 /month",3 Months,Few hours ago,,MS-Office,Be an early applicant
Graphic Design,AskMyGuru.live,Bangalore                                                                (Hybrid),"₹ 15,000 - 18,000 /month",2 Months,Few hours ago,,"Canva
Content Editing
Motion Graphics",Be an early applicant
Web Development,FutureYield Capital,Pune                                                                (Hybrid),"₹ 15,000 - 25,000 /month",1 Month,Few hours ago,,"Adobe XD
CSS
Figma
HTML
JavaScript
REST API",54 applicants
Human Resources (HR),Indika AI Private Limited,Delhi,"₹ 6,000 - 8,000 /month",3 Months,Just now,,"English Proficiency (Spoken)
English Proficiency (Written)
MS-Excel
MS-Office
MS-Word",Be an early applicant
